nome,endereço,telefone,aniversário,cpf
Sr. Antônio Casa Grande,"Travessa Emanuelly Monteiro, 62, Parque São José, 97250-579 Marques / RS",54-97396-5564,19/05/1966,673.845.012-53
Vitor Gabriel da Rocha,"Área Antônio Rios, 22, Vila Santa Monica 1ª Seção, 19318-673 Siqueira de Goiás / AM",92-92153-2178,23/06/1968,327.018.564-26
Manuella Aragão,"Parque Sabrina Campos, 83, Vila Antena Montanhês, 02739670 Vieira / SC",44-95526-5194,15/02/1953,361.925.470-25
Sr. Thiago Caldeira,"Vereda de Cunha, 47, Santo André, 35861-167 Macedo de Pastor / ES",38-93862-1150,05/03/1937,894.761.530-75
Bernardo Macedo,"Viela de Leão, 503, Flavio Marques Lisboa, 41978431 Macedo do Amparo / PI",60-97579-8442,25/02/1986,743.980.126-13
Maria Luiza Gomes,"Avenida de Fernandes, 980, Vila Boa Vista, 45797670 Peixoto Alegre / RN",75-93819-8114,08/07/2002,401.892.735-50
Rodrigo Farias,"Rodovia Arthur Miguel Ferreira, Vila São Paulo, 30424-880 Souza / SC",95-94634-9861,11/01/1988,543.018.972-32
Maria Julia Vieira,"Esplanada Azevedo, Vila Aeroporto, 34482653 da Rosa do Norte / RN",85-96997-7984,20/08/1959,736.845.109-39
Emanuella Lopes,"Jardim de Santos, 2, João Alfredo, 43063569 Castro de Rios / PI",86-93046-9157,04/03/2005,584.329.607-56
Dr. Antônio Barbosa,"Estrada de Marques, 9, Nossa Senhora Da Aparecida, 75765204 Nascimento / AP",96-94637-7275,25/12/1937,781.264.905-94
Lucas da Mota,"Feira Luiz Henrique Melo, 72, Belmonte, 87106-361 Brito / MA",56-99582-6185,29/10/1941,947.185.230-79
Sra. Melissa Camargo,"Lagoa Pinto, 310, Pedreira Padro Lopes, 58354072 da Cruz / CE",10-95938-9252,09/10/1999,047.683.592-56
Dr. Samuel Moura,"Jardim de Araújo, 65, Brasil Industrial, 96883-214 Oliveira / AC",75-98594-2553,12/09/1996,042.897.361-22
Emanuella Cavalcanti,"Alameda Mateus Ferreira, Parque São Pedro, 87977-119 Rodrigues Verde / TO",42-97498-8511,25/11/1962,481.706.259-20
João Vitor Dias,"Lagoa Leão, 91, Nossa Senhora Da Conceição, 46237-198 Almeida do Sul / GO",44-92179-2120,22/03/1986,649.501.328-06
João Vitor da Mota,"Rodovia Jesus, 59, São Geraldo, 19678-447 Melo / PB",90-93837-7297,02/11/1962,624.791.385-00
Bruna Aparecida,"Favela da Costa, 11, Rio Branco, 05067-769 Teixeira / MG",82-92337-1657,02/12/1951,729.805.314-05
Sr. Bryan Pereira,"Vereda Mariah da Mata, 22, Vila Copasa, 19890760 Souza / AC",36-98292-3777,27/01/1960,327.469.805-92
Diego Nunes,"Praça Novais, Minas Caixa, 41416-596 Marques do Galho / GO",97-95505-5697,17/05/1938,974.635.082-00
Isadora Pires,"Núcleo Siqueira, Vila São Dimas, 24715-867 Câmara / ES",75-97550-8098,02/06/1941,398.045.721-41
Natália Azevedo,"Área de Fogaça, 8, Conjunto Floramar, 20778-523 Correia / PE",13-98477-7403,28/12/1958,750.193.426-61
Arthur Gabriel Almeida,"Passarela Ferreira, Maria Helena, 14504310 Cirino / SE",30-98167-4691,10/08/1939,597.623.408-92
Rafaela das Neves,"Lagoa Aragão, 55, Santa Maria, 14106033 Caldeira / PB",23-91393-5584,07/05/1985,460.218.735-80
Sr. Benjamim Rezende,"Quadra João Pedro da Mata, 828, Esplanada, 55581101 Lima / AC",69-92949-1235,28/02/2006,971.834.652-09
Lunna Sá,"Vale de Rios, 421, Conjunto Santa Maria, 53334-096 Cassiano de Moreira / BA",55-97379-9366,06/10/1957,103.295.768-95
Sr. Nathan da Costa,"Lago de Macedo, 2, Vila São Gabriel, 27015-508 Fonseca / MT",54-95102-8468,26/06/1946,625.830.197-59
Lunna das Neves,"Passarela de Pacheco, 73, Novo Glória, 46050138 Lima / PR",99-94878-1470,18/05/1962,672.198.543-82
Dr. Carlos Eduardo da Mata,"Chácara Cardoso, 66, Alpes, 63831-578 Abreu / PR",27-97648-7582,19/05/1980,695.471.283-37
Pietra Araújo,"Passarela de da Cruz, 61, Vila Maria, 55487-115 Porto / RS",43-92546-6846,10/01/1965,276.531.809-30
Alexia da Conceição,"Rodovia de Câmara, 710, Santa Sofia, 84257545 Vieira Verde / RS",84-94089-6003,25/06/1992,218.560.973-40
Ana Carolina Mendes,"Lagoa Leandro Cirino, 9, Casa Branca, 18307059 Costela / RO",80-93382-6215,08/09/1937,157.386.924-46
Dra. Ana Sophia da Luz,"Área Alexia Azevedo, 43, Monsenhor Messias, 70789602 Cavalcante / RS",78-93146-5147,11/10/1959,375.168.942-73
Maria Clara Pastor,"Quadra Mendonça, 8, Vila Das Oliveiras, 57346-850 Mendes / GO",59-93360-3876,09/01/1982,052.679.314-70
Emanuelly Mendes,"Pátio Ana Laura Cunha, 409, Vila São João Batista, 56311-473 Araújo da Praia / ES",62-97560-3800,30/04/1934,372.098.645-47
Maria Sophia Aragão,"Praia Vasconcelos, Vila Jardim Leblon, 18159-732 Melo das Flores / DF",92-99856-4424,01/05/1997,412.580.693-42
João Lucas Lopes,"Núcleo de Costela, Jardim Alvorada, 24933-857 Barros Alegre / SC",42-93611-7927,03/08/1956,498.130.275-41
Felipe Pereira,"Jardim Costa, 57, Tres Marias, 70389-531 Sá de Brito / DF",68-93687-4048,25/10/1999,068.491.753-00
Srta. Maitê Lima,"Trecho de Marques, 95, São Damião, 88573-120 Camargo / GO",93-99315-2154,25/06/1962,421.583.706-53
Oliver Caldeira,"Quadra Luiz Miguel Castro, 9, Petropolis, 24800903 Fernandes / SP",96-92230-5354,10/05/1985,934.270.165-52
Rafael Caldeira,"Alameda Lucas Gabriel Mendonça, 2, Ouro Minas, 12956-669 Costa do Oeste / AC",21-94554-1427,05/03/1950,683.405.172-44
Mariana Vasconcelos,"Colônia Santos, 65, Engenho Nogueira, 16942957 Moreira Paulista / RR",14-91352-4144,17/01/1941,480.652.397-65
Sra. Laís Ferreira,"Pátio de Ramos, 59, Providencia, 10476-610 Nascimento / SC",50-96405-1931,26/02/1949,675.081.392-59
Dom Cunha,"Vila de Ribeiro, Primeiro De Maio, 47272564 Silveira do Amparo / PR",68-95915-7680,29/08/2000,146.309.852-98
Gabriel da Conceição,"Estação Correia, 51, Ouro Preto, 62782-347 Alves / PE",51-97815-7935,26/09/1934,958.612.734-64
Henry Gabriel Teixeira,"Parque de Silveira, Nossa Senhora Aparecida, 12150-994 Sales da Mata / TO",54-97253-6885,17/10/1990,371.985.420-50
Benicio Rodrigues,"Feira de Castro, 44, Vila São Rafael, 43267726 Moreira Verde / SP",93-99954-8861,02/11/1998,689.173.245-09
Maria Cecília Lopes,"Vila de Andrade, 7, Paulo Vi, 02134472 da Rocha / RR",19-98652-3825,27/06/1986,769.140.523-52
Catarina Cavalcanti,"Jardim Luigi Farias, 86, Vista Alegre, 94643646 Cardoso / MS",50-94439-4369,07/05/1989,349.601.582-98
Ana Clara Câmara,"Praça Heloísa Pimenta, 94, Lindéia, 17604-956 Monteiro do Oeste / AC",91-92813-1358,09/12/1982,397.581.406-39
Murilo Farias,"Fazenda Eduarda Nascimento, 59, Novo Ouro Preto, 74772730 Fonseca de Farias / TO",76-94970-8814,11/04/1956,023.591.468-15
Juan Sales,"Setor Valentim das Neves, 4, Goiania, 29607-642 Campos / BA",68-97663-8634,07/06/1999,829.750.641-01
Paulo Ramos,"Praia de Vasconcelos, Marieta 3ª Seção, 31686248 Ferreira / CE",28-99442-7791,23/07/1961,035.491.872-97
Isabel Castro,"Rodovia de Vasconcelos, 35, Vila Real 1ª Seção, 76652583 Correia das Pedras / BA",60-96963-5770,15/06/1954,120.735.698-03
Marcela das Neves,"Trevo Alexandre Aragão, Santa Rosa, 05725-521 Andrade do Sul / RS",54-93133-8453,06/02/1966,210.587.396-03
Dr. Renan Gomes,"Avenida Ana Sophia Pastor, Vila Independencia 3ª Seção, 18651-584 Rezende / CE",63-92487-4616,27/02/1985,198.526.403-05
Bella Campos,"Esplanada Ester Ramos, Jardim Do Vale, 83449-208 Peixoto de Carvalho / TO",35-97313-6402,19/05/1982,720.685.931-30
Dr. Felipe Porto,"Viela Pacheco, 22, Chácara Leonina, 29392-830 Costela do Amparo / AC",93-93442-7175,03/04/1938,342.806.591-33
Maria Laura Montenegro,"Aeroporto Fernandes, 75, Casa Branca, 27800-260 Silveira / AL",87-98960-3762,15/05/1961,694.130.572-06
Bruna Borges,"Loteamento de Vasconcelos, 10, Jardim Dos Comerciarios, 35113432 Rodrigues / TO",66-93257-3054,28/12/1943,704.296.315-61
Alícia da Mata,"Vereda João Pedro Albuquerque, 39, Anchieta, 49788-847 Cavalcanti de Goiás / PA",54-92559-3552,26/10/1933,395.024.867-65
Isaac Costela,"Esplanada Agatha Azevedo, 20, Vila Cloris, 37261328 Cassiano do Galho / AC",81-95842-9405,27/04/1969,864.517.293-37
Sra. Maria Luísa Vieira,"Setor de Monteiro, 13, Vila Piratininga, 01623-213 Almeida / SP",99-94494-2349,24/03/1984,856.973.201-59
Mariana das Neves,"Alameda Brito, Corumbiara, 04306-194 Cunha / SP",95-98570-8867,13/06/1937,894.301.257-88
Heloísa Sampaio,"Passarela Laura Costela, 45, Camponesa 1ª Seção, 05071428 Fernandes de Santos / AC",12-97705-9714,21/03/1969,491.035.782-32
Srta. Evelyn Abreu,"Recanto Macedo, 795, Nossa Senhora Da Aparecida, 84824-733 Caldeira / PR",88-99332-8233,31/03/1974,813.054.926-33
Alícia da Conceição,"Pátio Rios, Mirtes, 75186-366 Siqueira / PB",79-96536-3157,25/08/2000,629.857.104-30
Marcela Farias,"Viela de Leão, 13, Vila São Geraldo, 28236990 Azevedo / SP",58-94150-2507,28/04/1946,875.643.190-20
Henrique Vargas,"Via Isis Andrade, 54, Nova Floresta, 46691312 Santos / PR",95-99607-5175,19/09/1975,974.016.532-06
Sr. Erick Cardoso,"Vereda de Mendonça, 99, Pousada Santo Antonio, 04031037 Jesus de Teixeira / RS",31-97633-7505,04/09/1989,408.297.136-03
Rafael Mendonça,"Largo Sarah Cirino, 200, Universitário, 00373-743 Almeida da Praia / GO",13-96910-2517,17/04/1963,570.289.613-03
Eduarda Rios,"Morro de da Cruz, 67, São João Batista, 61183-886 Gonçalves / SP",74-99817-7907,31/08/1972,801.936.254-15
Otávio Fernandes,"Praça de Sá, 7, Ipe, 40171521 da Luz do Sul / MS",55-96864-7156,11/12/1979,736.041.829-13
Maria Vitória Vargas,"Largo de Duarte, 11, Ribeiro De Abreu, 26303302 Fogaça / AM",47-97967-7313,02/02/1987,392.487.065-92
Ísis da Cunha,"Residencial de Santos, 13, Buritis, 99837-309 Moura / PA",52-98697-5424,01/06/1963,849.607.251-76
Sr. Davi Guerra,"Aeroporto de Correia, 95, Pongelupe, 11808-361 Sousa de Sales / GO",18-91142-4840,03/08/1995,864.305.179-93
Isaque Andrade,"Área de Nogueira, 58, Túnel De Ibirité, 09819550 Aparecida / MT",28-96632-8082,14/11/1977,485.610.973-10
Davi Lucas Sales,"Praça de da Costa, 17, João Paulo Ii, 38474-556 Barros / PI",80-91049-1717,05/08/1979,620.819.574-85
Julia Aragão,"Largo Juliana Barbosa, 247, Jaqueline, 80547-324 Nogueira / AP",78-91016-2961,04/12/1955,095.476.832-92
Beatriz Peixoto,"Rodovia Pereira, 8, Eymard, 14424-120 Gomes / AP",96-92793-2574,02/05/1995,840.615.392-05
Ian Marques,"Loteamento Pacheco, 94, Araguaia, 20694556 Montenegro de Costa / RN",86-92495-9889,07/06/1963,507.219.384-50
Srta. Eloah Andrade,"Ladeira João Lucas Macedo, 285, Olhos D'água, 85360-571 Costela / GO",73-99123-1812,24/08/1978,712.635.904-70
Larissa Pacheco,"Loteamento Souza, 1, Nossa Senhora De Fátima, 54740-471 Gonçalves Paulista / PR",77-93340-7338,05/03/1983,052.869.317-40
Sra. Cecília Camargo,"Setor Gomes, 83, Vila Calafate, 24824814 Mendonça de da Luz / RJ",97-99074-4867,01/07/1952,349.508.162-33
Gustavo Henrique Araújo,"Favela Beatriz Mendonça, Vila São João Batista, 83617067 Nascimento / CE",31-97004-3741,06/09/1983,620.174.958-67
Benjamin Cirino,"Rodovia Heitor Azevedo, 10, Estrela, 46348-910 Cunha de Pimenta / SE",79-94344-9558,27/08/1948,728.145.369-82
Guilherme Melo,"Feira Francisco Nascimento, 7, Caiçaras, 68092889 Moraes / RS",66-99794-1710,02/02/1998,089.724.615-20
Julia Costa,"Conjunto Sarah Freitas, 3, Alto Vera Cruz, 52839-221 Novais / SP",53-93879-8596,29/01/1983,478.625.310-35
Dr. Augusto Albuquerque,"Feira Anthony Gabriel Almeida, 217, Novo Santa Cecilia, 95240722 Oliveira / SP",86-94668-1779,23/03/1937,740.239.186-87
Erick Campos,"Trecho de Pereira, 37, Vila Satélite, 01545-444 Porto / DF",20-95401-2486,18/01/1944,201.935.746-16
Sra. Clara Macedo,"Loteamento Vieira, 11, Vila União, 94054444 Freitas do Campo / BA",97-97239-4845,12/02/1967,209.135.678-68
Ísis Teixeira,"Largo de Brito, 84, Xangri-Lá, 87080-805 Peixoto do Norte / MT",29-92176-1888,29/09/1995,260.739.154-70
Milena Caldeira,"Chácara João Vitor da Luz, 8, Vila Maloca, 17764436 Jesus / PI",56-91318-9471,11/04/1982,637.802.541-07
Sarah Rodrigues,"Lago de Costa, 323, Vila Madre Gertrudes 3ª Seção, 99926-469 Carvalho da Praia / GO",31-94641-4405,21/04/1986,198.635.407-57
Ian Costela,"Colônia Campos, 6, Acaiaca, 93587-996 Mendonça da Mata / AC",77-99329-7790,05/06/1977,925.173.680-40
Maria Luiza Nunes,"Passarela Rhavi Monteiro, 582, Santana Do Cafezal, 82215660 Pacheco / SE",10-97378-4545,23/04/1995,950.263.184-60
Dra. Alícia das Neves,"Estação de Cardoso, 69, Delta, 17635-238 Lima do Norte / AP",89-92896-4474,12/12/1939,920.361.475-34
Augusto Correia,"Praça Luan Rios, 746, Palmares, 69834-465 Brito / PR",99-94893-8031,25/07/1971,532.174.680-07
Lunna Camargo,"Ladeira Isabel Lopes, 34, Barreiro, 36814568 Nogueira de das Neves / MS",23-95835-4620,29/07/1933,308.542.769-47
Laís Lopes,"Colônia Marques, Conjunto Paulo Vi, 77938-117 Cunha das Flores / MS",67-98412-4598,12/10/1968,820.935.417-50
Camila Moura,"Via Fogaça, 344, São Salvador, 54401-834 Cavalcanti / PE",91-97374-8914,30/11/1959,804.962.357-29
Sra. Ana Carolina Garcia,"Estrada de Leão, 69, Mineirão, 41965277 Mendonça / MA",39-95387-8980,27/08/1972,375.109.682-59
Dra. Mirella Dias,"Praça de da Rocha, 89, Vila Nova Cachoeirinha 2ª Seção, 53472319 Aparecida / AP",30-93421-7507,26/08/1944,167.358.290-77
Ágatha Barbosa,"Estrada de Monteiro, 8, Lagoinha, 94591-979 Silva / AP",57-99610-8115,11/03/1983,382.794.615-82
Sr. Augusto Lima,"Viaduto Jade Brito, 127, Grajaú, 23754-304 Araújo de Alves / AL",84-95412-4311,18/11/1960,697.451.823-46
Srta. Sophia Rocha,"Quadra de Dias, 5, São Jorge 1ª Seção, 91710-462 Rodrigues / AP",58-94170-7837,04/12/1971,829.467.301-31
Ana Sophia Marques,"Trevo José Pedro Lopes, 36, Venda Nova, 58695258 Castro do Norte / SC",74-93942-4167,18/01/1974,714.289.635-37
Evelyn Peixoto,"Parque de Sousa, 408, Santa Rosa, 88528-239 Pinto / SP",30-99925-1559,24/06/1940,823.076.914-13
Bruna Caldeira,"Recanto Vitor Gabriel Casa Grande, 17, Santa Sofia, 03454-131 Rios / MS",47-91757-8513,08/11/1994,425.308.671-35
Luana Farias,"Rua de Vieira, Jardim Leblon, 35100-080 Fogaça / RN",75-97136-1905,25/09/1981,925.761.348-82
Luiz Felipe Viana,"Pátio Augusto Gomes, 698, Álvaro Camargos, 30282-782 Pimenta das Pedras / RO",14-99552-8225,16/05/1949,497.823.506-56
Fernanda Sá,"Vale Rael da Cunha, Jardim Dos Comerciarios, 48172246 Oliveira / PB",60-94693-1972,25/03/2000,086.275.914-58
Pedro Aragão,"Condomínio de Cassiano, João Paulo Ii, 89203491 Macedo da Mata / SP",92-95773-2777,25/03/1971,204.596.318-70
Brenda da Cunha,"Fazenda Camila Santos, Vila Mangueiras, 50800178 Moraes / AP",64-97744-2765,01/12/1958,816.704.329-04
Bryan da Rocha,"Viela Juliana Vargas, 68, São Sebastião, 16922-422 Sousa de Macedo / AC",62-98511-7474,09/12/1944,237.845.196-28
Théo Marques,"Recanto de da Mota, 63, Horto, 25764509 Nunes de Fogaça / SE",27-98584-7745,03/02/1947,421.659.370-43
Samuel Silva,"Residencial de da Costa, 835, Madri, 16850-063 Farias da Prata / MT",55-94192-5129,14/08/1937,950.816.437-93
Maya Pastor,"Parque Anthony Gabriel Pacheco, 80, Horto, 31243-529 Marques Verde / PA",73-91495-4136,24/07/1996,376.904.851-20
Nathan da Conceição,"Travessa José Mendonça, 748, Vitoria, 61123457 Cardoso / PR",46-94800-6783,08/08/1984,170.594.623-25
Mirella Fonseca,"Largo Antony Araújo, Gutierrez, 65977-834 Castro / TO",62-98835-3665,14/02/2004,967.024.538-92
Sr. Anthony Sousa,"Parque de Almeida, 904, Indaiá, 13979837 Porto / AP",71-98662-2996,01/12/1967,861.274.509-85
Dr. Diogo Vargas,"Área Maria Luísa Ribeiro, 1, Maravilha, 50548940 Macedo da Mata / AC",57-97105-3962,30/03/1952,593.187.620-03
Lorena Vargas,"Feira Mathias Pinto, 88, Ribeiro De Abreu, 70565-676 Gomes / PB",10-97805-5759,19/10/1968,986.105.324-70
Olívia Cunha,"Campo Vargas, 10, Beira Linha, 98210409 Mendes / RJ",89-92629-7139,09/12/1952,975.384.061-66
Srta. Ana Liz Monteiro,"Alameda de Cirino, 90, Santa Rita, 95320368 Gonçalves / MT",20-91282-4908,12/07/1964,638.145.290-06
Srta. Maria Eduarda Cavalcanti,"Trecho de Pereira, 21, Aparecida 7ª Seção, 57993-171 Rezende / AM",41-96565-2475,04/10/1934,764.901.582-30
Oliver Brito,"Núcleo Ana Laura Cavalcanti, 147, São Vicente, 94360939 Lopes do Campo / RN",88-92734-7801,06/11/1959,897.432.065-74
Lavínia Carvalho,"Núcleo de Cavalcante, 6, Apolonia, 93321-360 Sousa de da Conceição / MS",16-95066-6731,14/07/1987,905.731.428-23
Maria da Rocha,"Colônia Vargas, 39, Vila Calafate, 06464790 Alves / SC",63-91740-6376,30/03/1936,358.649.107-75
Matteo Freitas,"Núcleo Marcela Porto, 7, Vila Paraíso, 29714708 Almeida / GO",78-97839-4598,23/08/1993,793.421.560-61
Davi Miguel Siqueira,"Lagoa Caroline Marques, 15, Pousada Santo Antonio, 97875-118 Ribeiro Paulista / PR",54-95643-9479,30/11/1946,528.306.197-30
Maria Vitória Cardoso,"Pátio Souza, Vila São Francisco, 06730-840 Correia de Jesus / RN",22-97222-7052,05/11/1989,139.748.256-73
Alexandre Novaes,"Feira Thiago Mendes, 7, Tres Marias, 60559547 Sales da Praia / PB",18-96707-9628,04/10/1967,193.074.856-66
Ana Lívia Cavalcanti,"Morro Fonseca, 7, Araguaia, 09557966 Rodrigues / AL",48-93809-9717,27/01/1969,802.367.915-59
Eduardo Ribeiro,"Vereda de Rocha, 29, Túnel De Ibirité, 53096-935 da Conceição / SP",40-99722-3400,03/02/1958,678.093.512-30
Rafael Cunha,"Viela de Pacheco, 91, Pedreira Padro Lopes, 52594027 Cardoso / RN",76-93480-9063,01/04/1953,085.267.139-30
Lorenzo Guerra,"Praça Carvalho, 9, Vila Madre Gertrudes 2ª Seção, 14624-445 Rodrigues / PE",14-97306-7313,21/04/1977,410.258.769-11
Dr. Mathias da Cunha,"Alameda Isabel Pires, 32, Grajaú, 66542305 Cassiano / MG",24-92750-4970,09/05/1950,741.820.356-07
Mariah Brito,"Conjunto Correia, 78, Vila Califórnia, 22416188 Peixoto de Oliveira / TO",88-99593-8539,16/12/1955,291.645.087-49
Ana Luiza da Conceição,"Viela Melo, 62, Alto Caiçaras, 76722987 da Costa do Oeste / CE",18-94385-7039,26/08/1950,910.674.853-84
Bárbara da Luz,"Viela Matheus Rezende, 90, Parque São José, 60323113 Correia / MS",36-93041-3400,09/03/1945,597.246.830-10
Eloah Nogueira,"Feira Aurora Albuquerque, 14, Vila Novo São Lucas, 67098-976 Garcia / PR",97-96742-4831,20/08/1995,918.352.640-42
Isabella Carvalho,"Recanto Olivia Cassiano, 27, Andiroba, 92673663 Leão do Galho / MS",79-97085-1203,11/06/1996,923.687.054-65
Otávio Nogueira,"Rodovia Cavalcante, Lajedo, 10796760 Siqueira / TO",26-93263-5946,11/10/1937,632.740.981-40
Otto Garcia,"Recanto Beatriz Sales, 63, Alto Caiçaras, 80623-129 Andrade / PI",79-98557-7466,20/01/1952,123.567.048-17
Marina Brito,"Viaduto de Lima, 2, Savassi, 40639036 Vieira / SC",52-91500-9989,10/02/2002,548.702.913-04
Sra. Ana Beatriz Andrade,"Residencial Ravi Lucca da Cunha, 88, Vila Ecológica, 79632819 Albuquerque / RS",42-93112-1379,15/08/1986,583.716.249-64
Maria Fernanda Rocha,"Trecho Rebeca Costa, Vila São Rafael, 47968735 Montenegro do Campo / AM",67-91517-6765,14/12/1960,302.187.965-95
Vicente Lopes,"Rua de da Cruz, 85, Indaiá, 98151614 Pinto do Amparo / PE",10-96264-5538,13/02/1934,274.913.680-69
Srta. Mirella Rodrigues,"Estação de Correia, 13, Beija Flor, 83142995 Cavalcante de das Neves / MA",12-91418-4342,26/07/1973,389.645.210-05
Ana Vitória da Rosa,"Área de Ribeiro, 87, Ouro Minas, 62181970 Barros / PI",35-91018-6954,09/04/1939,319.406.782-69
Dr. Luiz Felipe Mendes,"Largo Leão, 81, Boa Viagem, 03943-249 Castro de Teixeira / AC",29-91015-9816,25/02/1961,516.428.739-00
Léo Fogaça,"Favela Viana, Pindura Saia, 37707490 Porto da Praia / RR",52-96491-1680,22/08/1996,782.450.319-41
Emanuel Porto,"Colônia Vargas, 21, Castanheira, 69892-161 Abreu / GO",20-98140-6918,05/08/1946,215.408.973-97
Valentim Silva,"Praça Garcia, 18, Santana Do Cafezal, 92204-943 Ferreira / AP",23-91963-7060,16/06/1951,519.702.438-05
Olívia Duarte,"Campo de Pimenta, 162, Vila Betânia, 08194042 Costa de Minas / AC",78-94913-5963,13/06/1985,456.719.028-94
Sofia Marques,"Fazenda Sara Alves, 105, Nova Suíça, 63815-366 Santos / RR",82-93919-8799,11/11/1964,427.915.638-73
Dr. Asafe Melo,"Viaduto Porto, Vila Independencia 3ª Seção, 71793-823 Fogaça de Minas / RO",65-97479-1973,26/01/1936,435.018.972-60
Julia Almeida,"Chácara de Alves, 162, Vila Ouro Minas, 52367779 Dias da Mata / MA",61-94745-1151,08/07/1952,274.651.890-20
Benjamin Carvalho,"Esplanada de Pacheco, 315, Belvedere, 11574-434 Costela das Flores / AP",42-91046-4009,29/04/1969,584.230.719-79
Leonardo da Paz,"Via Câmara, 34, Horto, 28428-157 Mendes do Sul / PI",13-92206-3246,06/07/1990,032.417.568-07
Sra. Maria Cecília Macedo,"Via de Macedo, 73, Dona Clara, 75650614 Viana Alegre / RJ",51-94856-3033,10/09/2005,058.162.793-86
Dr. José Pedro Fernandes,"Lago da Rosa, 44, Santa Rosa, 20757-643 Vasconcelos dos Dourados / AC",76-91463-3816,05/11/1966,427.519.380-60
Benjamim Alves,"Praça Bruno Câmara, 42, Novo Tupi, 67226992 Moura / MG",43-98586-9881,19/10/1971,362.815.074-44
Helena Rodrigues,"Viaduto Enzo Cassiano, 87, Vila Santa Monica 2ª Seção, 44407391 da Conceição das Pedras / RN",43-96296-4423,07/04/1976,854.901.326-98
Luan Ribeiro,"Lago de Abreu, 10, Anchieta, 25374-338 Leão das Pedras / RR",62-98597-7709,08/12/1988,179.205.463-70
Maria Isis Fonseca,"Estação Lorena Fogaça, Jardim Dos Comerciarios, 42089168 Gonçalves da Prata / TO",11-98224-4633,04/07/1988,493.710.826-31
Raquel Oliveira,"Passarela de da Cruz, 91, Marieta 1ª Seção, 98888261 Novaes / MT",95-99421-9902,07/09/1975,426.958.130-15
Maria Isis Camargo,"Quadra Emanuel Oliveira, 3, Marajó, 77996-627 da Mota / SE",84-94426-2217,04/07/1958,841.976.253-91
